Ոսկի ոսկի
ոսկի Ոսկի

Ձիւն ձիւն
ձիւն Ձիւն

Առիւծ առիւծ
առիւծ Առիւծ

Ենթակայ ենթակայ
ենթակայ Ենթակայ

Եար եար
եար Եար

Դու դու
դու Դու

Կեանք կեանք
կեանք Կեանք

Ես ես
ես Ես

Են են
են Են

Եմ եմ
եմ Եմ

Մենք մենք
մենք Մենք

Կը Վազէ կը վազէ
կը վազէ Կը Վազէ

Յունուար յունուար
յունուար Յունուար

Ազնիւ ազնիւ
ազնիւ Ազնիւ

Ջուր ջուր
ջուր Ջուր

Հանճար հանճար
հանճար Հանճար

Լոյս լոյս
լոյս Լոյս

Քոյր քոյր
քոյր Քոյր

և և
և և

Երևան երևան
երևան Երևան

___________________________

Յար յար
յար Յար

Դու դու
դու Դու
